Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs
2891,electronics mechanic theory i & ii year english,rajawat sudarshan,Electronics Mechanic Theory I & II Year English,Sudarshan Rajawat,Polytechnics ITI Exam Preparation,Paperback,3.9,22.0,https://www.amazon.in/Electronics-Mechanic-Theory-Year-English/dp/B07GJQFSYZ/ref=zg_bs_g_4149780031_d_sccl_12/000-0000000-0000000?psc=1
2135,youtube shortcut,collin michael,The YouTube Shortcut: The Exact Formula to Start Your YouTube Channel and Market Your Business in 30 Minutes or Less.,Collin Michael,Digital Social Internet Computing Media,Kindle Edition,4.3,22.0,https://www.amazon.in/YouTube-Shortcut-Formula-Channel-Business-ebook/dp/B0B9CMFTPS/ref=zg_bs_g_1318113031_d_sccl_6/000-0000000-0000000?psc=1
5174,tayai kaatu nee,thandawan vanisha,Tayai Kaatu Nee: Part 9--Epi 17 & Epi 18 (Tamil Edition),Vanisha Thandawan,Romance Contemporary,Kindle Edition,4.8,22.0,https://www.amazon.in/Tayai-Kaatu-Nee-9-Epi-Tamil-ebook/dp/B0CVMZRNDJ/ref=zg_bs_g_2590357031_d_sccl_28/000-0000000-0000000?psc=1
27,basu chatterji and middle,anirudha bhattacharjee,Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,Film Cinema Broadcast Photography Arts,Hardcover,4.8,22.0,https://www.amazon.in/Basu-Chatterji-Middle-Road-Ci/dp/0670096253/ref=zg_bs_g_1318054031_d_sccl_28/000-0000000-0000000?psc=1
4074,understanding anesthesia equipment sae,"anju dorsch, gupta gupta nishkarsh",Understanding Anesthesia Equipment SAE,"Anju Gupta Dorsch, Nishkarsh Gupta",Sciences Health Reference Medicine,Paperback,4.6,22.0,https://www.amazon.in/Understanding-Anesthesia-Equipment-Nishkarsh-Dorsch/dp/9390612535/ref=zg_bs_g_4149694031_d_sccl_25/000-0000000-0000000?psc=1
5164,காதலே பிரளயமாய்! (tamil ),நாவல் பாலாஸ்,காதலே பிரளயமாய்! (Tamil Edition),பாலாஸ்  நாவல் ,Romance Contemporary,Kindle Edition,3.9,22.0,https://www.amazon.in/%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%87-%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%B3%E0%AE%AF%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AF%8D-Tamil-%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%BE%E0%AE%B8%E0%AF%8D-%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D-ebook/dp/B0CTXB9S14/ref=zg_bs_g_2590357031_d_sccl_18/000-0000000-0000000?psc=1
4730,classical indian ethical thought,kedar nath tiwari,"Classical Indian Ethical Thought: A Philosophical Study Of Hindu, Jaina And Bauddha Morals",Kedar Nath Tiwari,Jainism Religion,Paperback,4.3,22.0,https://www.amazon.in/Classical-Indian-Ethical-Thought-Philosophical/dp/8120816080/ref=zg_bs_g_1318197031_d_sccl_1/000-0000000-0000000?psc=1
5436,kingdom of sinners (bitter love duet series book 1),ali nusrath shanjida,Kingdom Of Sinners (Bitter Love Duet Series Book 1),Shanjida Nusrath  Ali,Romance Mafia,Kindle Edition,4.2,22.0,https://www.amazon.in/Kingdom-Sinners-Bitter-Love-Duet-ebook/dp/B08YWTQLN1/ref=zg_bs_g_92041939031_d_sccl_13/000-0000000-0000000?psc=1
2903,"important judgments of supreme court for upsc, state service and other competitive examination in hindi",(retd.) agrawal dr. ias kumar pramod,"Important Judgments of Supreme Court for UPSC, State Service and Other Competitive Examination in Hindi",IAS (Retd.) Dr. Pramod Kumar Agrawal,Certification Professional Exams Exam Preparation,Paperback,4.0,22.0,https://www.amazon.in/Important-Judgments-Supreme-Competitive-Examination/dp/9355216408/ref=zg_bs_g_4149802031_d_sccl_4/000-0000000-0000000?psc=1
4322,india's experiment with democracy,quraishi s.y.,India's Experiment With Democracy: The Life of a Nation Through its Elections,S.Y. Quraishi,Political Politics Ideologies,Paperback,4.3,22.0,https://www.amazon.in/Indias-Experiment-Democracy-Through-Elections/dp/9356993645/ref=zg_bs_g_1318180031_d_sccl_23/000-0000000-0000000?psc=1
2594,கிச்சன் சீக்ரட்ஸ்,santhi sivakumar சாந்தி சிவகுமார்,கிச்சன் சீக்ரட்ஸ்: அசத்தலான சமையலறை டிப்ஸ் : Kitchen Secrets : Asathalana Samayalarai Tips (Tamil Edition),Santhi Sivakumar சாந்தி சிவகுமார்,House Maintenance Lifestyle Home Crafts,Kindle Edition,4.0,22.0,https://www.amazon.in/%E0%AE%95%E0%AE%BF%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%A9%E0%AF%8D-%E0%AE%9A%E0%AF%80%E0%AE%95%E0%AF%8D%E0%AE%B0%E0%AE%9F%E0%AF%8D%E0%AE%B8%E0%AF%8D-%E0%AE%85%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%B2%E0%AE%BE%E0%AE%A9-Asathalana-Samayalarai-ebook/dp/B089LQK42L/ref=zg_bs_g_1318124031_d_sccl_15/000-0000000-0000000?psc=1
5365,road not taken (hart sisters book 1),emily tudor,The Road Not Taken (Hart Sisters Book 1),Emily Tudor,Life Romance in Later,Kindle Edition,4.1,22.0,https://www.amazon.in/Road-Taken-Hart-Sisters-Book-ebook/dp/B0CQ92Q37N/ref=zg_bs_g_89265414031_d_sccl_19/000-0000000-0000000?psc=1
